,count,author,date,text_update
97,97,"Adam Nagourney, in Los Angeles",1604800053000,"

                    “I owe you, I owe you, I owe you everything.” In case there was any doubt, Biden is very different than the man he is replacing in the White House.




                "
98,98,"Adam Nagourney, in Los Angeles",1604800029000,"

                    “America has bent the arc of the moral universe more toward justice.” Biden is paraphrasing the Rev. Dr. Martin Luther King Jr.




                "
99,99,"Adam Nagourney, in Los Angeles",1604799850000,"

                    Biden comes right out establishing the legitimacy of his election: ""They delivered us a clear victory, a convincing victory.” 74 million votes. A record.




                "
100,100,"Katie Glueck, in Wilmington, Del.",1604799780000,"

                    Biden is hitting one of the central themes of his candidacy: that the stakes of the election transcended typical partisan divisions.




                "
101,101,"Adam Nagourney, in Los Angeles",1604799703000,"

                    Biden comes trotting onto the stage. Finally getting a moment he has waited for for decades. And to Bruce Springsteen!




                "
102,102,"Katie Glueck, in Wilmington, Del.",1604799669000,"

                    President-elect Joseph R. Biden Jr. has taken the stage, 48 years to the day after he was elected to the U.S. Senate.




                "
103,103,"Adam Nagourney, in Los Angeles",1604799631000,"

                    Harris: “The road ahead will not be easy.” Harris and Biden need to prepare Americans for tough times as the country confronts the pandemic.




                "
104,104,"Michael Cooper, in New York",1604799576000,"

                    A century after the passage of the 19th Amendment, Kamala Harris is the vice president-elect, and says that while she may be the first woman to hold the office, she will not be the last.




                "
105,105,"Adam Nagourney, in Los Angeles",1604799535000,"

                    Harris talks about the “audacity” Biden showed in picking the first woman to be vice president — an Obama tribute there.




                "
106,106,"Adam Nagourney, in Los Angeles",1604799395000,"

                    Harris tips to the historic nature of her election, talking about women and people of color “who throughout our history have paved the way for this moment tonight.”




                "
107,107,"Adam Nagourney, in Los Angeles",1604799353000,"

                    It’ll be interesting to see how big a role Kamala Harris plays in a Biden White House. There have been a lot of powerful V.P.s in recent years, like Dick Cheney — and Joe Biden.




                "
108,108,"Adam Nagourney, in Los Angeles",1604799250000,"

                    “For four years you marched and organized for equality and justice, for our lives and for our planets. And then you voted,” Harris says. “You chose hope and unity, decency, science, and yes, truth.”




                "
109,109,"Katie Glueck, in Wilmington, Del.",1604798923000,"

                    Vice President-elect Kamala Harris is onstage in Wilmington.




                "
110,110,"Adam Nagourney, in Los Angeles",1604798159000,"

                    Trump concession or not, Biden already appears to have a full-scale, presidential-level Secret Service protection motorcade detail around him.




                "
111,111,"Thomas Kaplan, in Wilmington, Del.",1604796969000,"

                    Biden’s motorcade is on its way to the Chase Center in Wilmington, where he will address the nation.




                "
112,112,"Katie Glueck, in Wilmington, Del.",1604796945000,"

                    As Biden supporters await the president-elect in Wilmington, many are waving large American flags and glow sticks.




                "
113,113,"Glenn Thrush, in Washington",1604796872000,"

                    Biden has extended his lead in Georgia to 9,160 votes with a net gain of 1,613 votes from DeKalb County. The statewide margin is still well within the range of a recount.




                  
See Georgia results › 
"
114,114,"Katie Glueck, in Wilmington, Del.",1604795327000,"

                    Biden and Harris spoke to campaign staffers tonight, thanking them for their efforts. Biden spoke of the need to engage Trump supporters and other Republicans in an effort to unite the nation and move forward.




                "
115,115,"Maggie Haberman, in New York",1604794647000,"

                    Aides say it’s not clear that Trump will adhere to customs like inviting Biden to the White House. But Biden, a previous vice president, is not in need of a tour.


                   Read more ›
"
116,116,"Katie Glueck, in Wilmington, Del.",1604792151000,"

                    The drive-in rally in honor of Joe Biden in Wilmington is filling up. People are sitting in lawn chairs and on roofs of cars as they wait for him to speak here.




                "
117,117,"Eric Schmitt, in Washington",1604791442000,"

                    Former Senator Carl Levin, Democrat of Michigan, in a telephone interview: ""It’s thrilling for the country to see a bully removed from office.”




                "
118,118,"Jim Rutenberg, in New York",1604790691000,"

                    The Trump campaign has filed a lawsuit alleging irregularities in some in-person voting in Maricopa County, Ariz., seeking to delay certification of results pending an investigation.




                "
119,119,"Thomas Kaplan, in Wilmington, Del.",1604789148000,"

                    President-elect Joseph R. Biden Jr. is expected to speak tonight from a flag-bedecked outdoor stage near the Chase Center on the Riverfront, an event facility in Wilmington.


                   Read more ›
"
120,120,Sydney Ember,1604787339000,"

                    Progressives are preparing to unleash a campaign to pressure Biden over personnel and priorities, even as they wrestle with the need to be more realistic about expectations.


                   Read more ›
"
121,121,"Matt Flegenheimer, in New York",1604785534000,"

                    As he prepares to lead a divided Washington, President-elect Joseph R. Biden Jr. will confront the ultimate test of how much times have changed, and how much he has.


                   Read more ›
"
122,122,"Michael Cooper, in New York",1604784017000,"

                    A few hours after Rudy Giuliani held a news conference in Philadelphia questioning the results, a small protest against him broke out in New York, the city he once led as mayor.




                "
123,123,"Michael D. Shear, in Washington",1604783223000,"

                    The White House declared a “lid” at 3:59 p.m., indicating that President Trump has no intentions of appearing in public today to make a statement about his loss. (He could still tweet his feelings at any moment.)




                "
124,124,"Eric Schmitt, in Washington",1604782528000,"

                    Former Senator Sam Nunn, Democrat of Georgia, in a phone interview about Biden: “He can help heal the country. All of his instincts are to govern from the middle, from the center.”




                "
125,125,"Adam Nagourney, in Los Angeles",1604781958000,"

                    Another thing to watch: Will President Trump start losing followers on Twitter?




                "
126,126,"Catie Edmondson, in Washington",1604781579000,"

                    Representative Steve Scalise of Louisiana, the No. 2 House Republican, takes a cue from President Trump, saying “the election is not final” until legal challenges are resolved.




                "
127,127,"Michael D. Shear, in Washington",1604780956000,"

                    Trump’s motorcade arrived back at the White House, having driven past crowds of mostly Biden supporters. Trump waved at reporters as he entered the West Wing side entrance.




                "
128,128,"Katie Glueck, in Wilmington, Del.",1604779931000,"

                    In many ways, he ran as the politician he has always been. And for one extraordinary election, that was enough. After a half-century in public life, Joe Biden is president-elect.


                   Read more ›
"
129,129,"Adam Nagourney, in Los Angeles",1604778263000,"

                    What to watch: former Republican presidents and candidates validating Biden’s victory. In particular, George W. Bush. Mitt Romney was quick to do it. Watch for Bob Dole.




                "
130,130,"Michael Grynbaum, in New York",1604777648000,"

                    On Fox News, Chris Wallace says the Trump campaign has presented no hard evidence of fraud. He notes that “tens of thousands of votes” would have be reversed to change the result.




                "
131,131,"Michael Gold, in New York",1604777045000,"

                    The reaction in America has been — predictably, given this election — divided. In big cities supporting Biden, celebrations erupted. Trump’s supporters voiced disappointment and disbelief.


                  Live coverage ›
"
132,132,"Alan Blinder, in Atlanta",1604776928000,"

                    Former President Jimmy Carter welcomed Biden’s election to the White House on Saturday, more than four decades after they first became political allies.


                   Read more ›
"
133,133,"Katie Glueck, in Wilmington, Del.",1604776323000,"

                    Obama spoke separately today with Biden and Harris, a representative confirms: “He congratulated them on their historic victory and told them how proud he was of the campaign they ran.”




                "
134,134,"Emily Cochrane, in Washington",1604775723000,"

                    Representative Will Hurd, Republican of Texas, who is also retiring: “It’s time to come together. America has spoken and we must respect the decision.”




                "
135,135,"Catie Edmondson, in Washington",1604775245000,"

                    Some Trump allies in the House have adopted his rhetoric: “It would be unwise to accept any outcome” before recounts and court reviews, said Rep. Jodey Arrington of Texas.




                "
136,136,"Emily Cochrane, in Washington",1604774711000,"

                    Senator Lamar Alexander, Republican of Tennessee, who’s retiring: “After counting every valid vote and allowing courts to resolve disputes, it is important to respect and promptly accept the result.”




                "
137,137,"Glenn Thrush, in Washington",1604774454000,"

                    Senator Mitt Romney, the 2012 Republican nominee, is not waiting for Trump to concede. He’s congratulated Biden and Harris and praised them “as people of good will and admirable character.”




                "
138,138,"Emily Cochrane, in Washington",1604773798000,"

                    Schumer, celebrating on the streets of Brooklyn during the call with Pelosi and Biden, held up his phone so the president-elect could hear the crowds cheering, an aide said.




                "
139,139,Nicholas Fandos,1604773652000,"

                    Speaker Nancy Pelosi and Senator Chuck Schumer called Biden at 12:45 p.m. to congratulate him and extend their support for working with his administration, an aide said.




                "
140,140,"Katie Glueck, in Wilmington, Del.",1604773335000,"

                    Barack Obama expressed confidence in his former vice president: “I know he’ll do the job with the best interests of every American at heart, whether or not he had their vote.”




                "
141,141,"Luke Broadwater, in Washington",1604773264000,"

                    Senator Josh Hawley, Republican of Missouri, said the election wasn’t settled. “The media do not get to determine who the president is,” he said. “The people do.”




                "
142,142,Sydney Ember,1604772906000,"

                    With her ascension to the vice presidency, Kamala Harris will become the first woman and first woman of color to hold that office. A true milestone for the country.


                   Read more ›
"
143,143,"Adam Nagourney, in Los Angeles",1604772826000,"

                    Jeb Bush just tweeted congrats to Biden. Watch for a bunch of these from Republicans as the day goes on. Not sure it will prompt Trump to concede, but the nation is moving on.




                "
144,144,"Katie Glueck, in Wilmington, Del.",1604772477000,"

                    “We’re just overjoyed — overjoyed and grateful,” says Jim Biden, Joe Biden’s younger brother, who said he has spoken with the president-elect. “He’s doing well.”




                "
145,145,"Adam Nagourney, in Los Angeles",1604772178000,"

                    Worth keeping in mind: Trump’s 2016 victory was narrow. (Lost the popular vote, and won the “blue wall” states by 80,000 votes.) Biden’s victory is substantial (and more conventional).




                "
146,146,"Michael Cooper, in New York",1604772058000,"

                    The mayor of London, Sadiq Khan, tweeted his congratulations to Joe Biden and Kamala Harris, writing,  “It’s time to get back to building bridges, not walls.”




                "
147,147,"Michael Cooper, in New York",1604771919000,"

                    Reaction is pouring in from around the world. The mayor of Paris, Anne Hidalgo, tweeted: “Welcome back America!”




                "
148,148,"Catie Edmondson, in Washington",1604771599000,"

                    In one of the first statements from a G.O.P. lawmaker, Representative Fred Upton of Michigan has affirmed a Biden victory. “I am raising my hand and committing to working with President-elect Biden,” he said.




                "
149,149,"Emily Cochrane, in Washington",1604771296000,"

                    House Democrats are nearing the 218-seat threshold needed to hold onto the majority in the chamber, with Susie Lee of Nevada clinching her re-election.




                "
150,150,"Mike Isaac, in San Francisco",1604771247000,"

                    Facebook put a notification atop its apps that said that Joe Biden was projected as the winner. It will appear for hundreds of millions of Americans on Facebook and Instagram.




                "
151,151,"Mike Isaac, in San Francisco",1604771168000,"

                    Twitter has added an announcement in its “Explore” tab that Biden has been projected as the winner of the election, pointing to news outlets.




                "
152,152,"Adam Nagourney, in Los Angeles",1604771015000,"

                    The street celebrations recall Obama’s election in 2008. But that was a celebration of Obama. This seems (without taking anything away from Biden) very much a celebration of Trump’s ouster.




                "
153,153,"Emily Cochrane, in Washington",1604770808000,"

                    My inbox is full of Democratic lawmakers rushing to congratulate Biden and Harris, but Republicans are notably quiet. Little, if any, reaction so far.




                "
154,154,"Thomas Kaplan, in Wilmington, Del.",1604770498000,"

                    President-elect Joseph R. Biden Jr. will address the nation at 8 p.m. Eastern time from Wilmington, his campaign says.




                "
155,155,"Katie Glueck, in Wilmington, Del.",1604770462000,"

                    We’re told that President-elect Joseph R. Biden Jr. was home with his family when he heard the news he had won. He has spoken with Vice President-elect Kamala Harris.




                "
